======================
Proton: 1637264280 experimental-6.3-20211118
SteamGameId: 1217060
Command: ['/home/neuropain/.local/share/Steam/steamapps/common/Gunfire Reborn/Gunfire Reborn.exe', '-nolog']
Options: {'forcelgadd'}
depot: 0.20211014.30
pressure-vessel: 0.20210906.2
scripts: v0.20210917.0-0-g1cf127d
soldier: 0.20211013.0 soldier 0.20211013.0
Kernel: Linux 5.15.2-2-MANJARO #1 SMP PREEMPT Sat Nov 13 19:25:38 UTC 2021 x86_64
======================
fsync: up and running.
wine: RLIMIT_NICE is <= 20, unable to use setpriority safely
2147.628:00c0:00c4:trace:seh:dispatch_exception  rsi=000000000000006c rdi=000000000029a9b0 rbp=0000000040010028 rsp=000000000073e6d0
2147.628:00c0:00c4:trace:seh:dispatch_exception   r8=0000000000000000  r9=0000000000000000 r10=0000000000290020 r11=00000000a55a5aa5
2147.628:00c0:00c4:trace:seh:dispatch_exception  r12=000000000073e9d8 r13=00000000002b5640 r14=000000000016cb50 r15=0000000000000005
2147.628:00c0:00c4:trace:seh:call_vectored_handlers calling handler at 000000007B00C690 code=6ba flags=0
2147.628:00c0:00c4:trace:seh:call_vectored_handlers handler at 000000007B00C690 returned 0
2147.628:00c0:00c4:trace:seh:RtlVirtualUnwind type 1 rip 000000007B01239E rsp 000000000073E6D0
2147.628:00c0:00c4:trace:seh:dump_unwind_info **** func 12350-123d7
2147.628:00c0:00c4:trace:seh:dump_unwind_info unwind info at 000000007B0A6480 flags 0 prolog 0x11 bytes function 000000007B012350-000000007B0123D7
2147.628:00c0:00c4:trace:seh:dump_unwind_info     0x11: subq $0xc8,%rsp
2147.628:00c0:00c4:trace:seh:dump_unwind_info     0xa: pushq %rsi
2147.628:00c0:00c4:trace:seh:dump_unwind_info     0x9: pushq %rdi
2147.628:00c0:00c4:trace:seh:RtlVirtualUnwind type 1 rip 0000000231B22812 rsp 000000000073E7B0
2147.628:00c0:00c4:trace:seh:dump_unwind_info **** func 42800-42847
2147.628:00c0:00c4:trace:seh:dump_unwind_info unwind info at 0000000231B453C0 flags 0 prolog 0x4 bytes function 0000000231B22800-0000000231B22847
2147.628:00c0:00c4:trace:seh:dump_unwind_info     0x4: subq $0x28,%rsp
2147.628:00c0:00c4:trace:seh:RtlVirtualUnwind type 1 rip 0000000231AE9736 rsp 000000000073E7E0
2147.628:00c0:00c4:trace:seh:dump_unwind_info **** func 96b0-9737
2147.628:00c0:00c4:trace:seh:dump_unwind_info unwind info at 0000000231B4332C flags 0 prolog 0x7 bytes function 0000000231AE96B0-0000000231AE9737
2147.628:00c0:00c4:trace:seh:dump_unwind_info     0x7: subq $0x40,%rsp
2147.628:00c0:00c4:trace:seh:dump_unwind_info     0x3: pushq %rbx
2147.628:00c0:00c4:trace:seh:dump_unwind_info     0x2: pushq %rsi
2147.628:00c0:00c4:trace:seh:dump_unwind_info     0x1: pushq %rdi
